"scenario","true_link_function","fitted_link_function","interaction_p","interaction_coef","dharma_uniformity_p","dharma_dispersion_p","dharma_quantile_fitted_p","dharma_quantile_predictor_p","dharma_categorical_design_p","dharma_valid_tests","dharma_tests_used","pregibon_link_test_p","dharma_wrong_uniformity_p","dharma_wrong_dispersion_p","dharma_wrong_quantile_fitted_p","dharma_wrong_quantile_predictor_p","dharma_wrong_categorical_design_p","dharma_wrong_valid_tests","dharma_wrong_tests_used","dharma_correct_uniformity_p","dharma_correct_dispersion_p","dharma_correct_quantile_fitted_p","dharma_correct_quantile_predictor_p","dharma_correct_categorical_design_p","dharma_correct_valid_tests","dharma_correct_tests_used","pregibon_wrong_p","pregibon_correct_p","aic_true_link_interaction","aic_fitted_link_interaction","aic_favors_true_link","aic_favors_fitted_link","aic_fitted_minus_true","target_fit_converged","target_fit_gradient_max","target_fit_hessian_min_eigen"
"Count errors","log","identity",1.77979831867542e-06,-1.15551220547579,0.632292034549952,0.16,0.000162326140007329,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.62565783086465e-05,0.632292034549952,0.16,0.000162326140007329,0,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.531896066219468,0.648,0.547597073654734,0.888973294916418,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.62565783086465e-05,0.660345257445658,773.116892006018,798.752073716158,TRUE,FALSE,25.6351817101399,NA,NA,NA
"Count errors","log","identity",0.0552122591739096,-0.443709042542442,0.148274233031856,0.04,0.00717426179783298,0.0001785366972352,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.35639051924512e-06,0.148274233031856,0.04,0.00717426179783298,0.0001785366972352,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.882921466873898,0.84,0.827427547803185,0.253766904566216,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.35639051924512e-06,0.53572847479854,742.534653635599,770.517981641825,TRUE,FALSE,27.9833280062263,NA,NA,NA
"Count errors","log","identity",2.03719875766432e-05,-1.04898090079056,0.839132742998467,0.08,0.000102836887193147,6.46441546026111e-06,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",5.1682723032125e-09,0.839132742998467,0.08,0.000102836887193147,6.46441546026111e-06,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.970882907944052,0.816,0.821282657274191,0.78858764127901,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",5.1682723032125e-09,0.0985554693608201,759.732489198907,792.990531055025,TRUE,FALSE,33.2580418561186,NA,NA,NA
"Count errors","log","identity",6.82287080420463e-05,-0.99916186650144,0.207326801832615,0.384,0.149643481390272,0.0102274413053398,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.6350742495626e-05,0.207326801832615,0.384,0.149643481390272,0.0102274413053398,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.72210212018487,0.688,0.813213020416206,0.815298638992862,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.6350742495626e-05,0.853413173970899,719.57224211853,740.941060058619,TRUE,FALSE,21.368817940089,NA,NA,NA
"Count errors","log","identity",3.38217045242979e-08,-1.27481552027625,0.950054420696627,0.296,0.798933784363842,0.130375265434071,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.261490087533098,0.950054420696627,0.296,0.798933784363842,0.130375265434071,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.980846532499334,0.672,0.984352301610245,0.175237275051919,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.261490087533098,0.269407020318902,743.207990850334,740.685593387577,FALSE,TRUE,-2.52239746275689,NA,NA,NA
"Count errors","log","identity",6.35224694762846e-05,-0.940370268646197,0.517159975803037,0.256,0.292405411221952,0.151091894565606,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00435296472294963,0.517159975803037,0.256,0.292405411221952,0.151091894565606,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.82964685576598,0.32,0.929416061265724,0.806358107129814,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.00435296472294963,0.0527442166057254,771.74843500357,776.75811636006,TRUE,FALSE,5.00968135649009,NA,NA,NA
"Count errors","log","identity",5.23043549035233e-08,-1.29295331107603,0.31594562738663,0.128,0.0259798604263616,2.23808114074853e-06,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",9.39148061360438e-07,0.31594562738663,0.128,0.0259798604263616,2.23808114074853e-06,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.930717620328165,0.888,0.983817332716859,0.874293080070726,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",9.39148061360438e-07,0.346135528497943,746.551535279011,777.718278961849,TRUE,FALSE,31.1667436828375,NA,NA,NA
"Count errors","log","identity",0.000546268480134644,-0.850389051273479,0.936390941037884,0.672,0.241844109099414,0.257713987434259,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.000790503735839734,0.936390941037884,0.672,0.241844109099414,0.257713987434259,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.998007049464458,0.352,0.881352861372038,0.673809979580401,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.000790503735839734,0.100685482427045,725.195567911037,732.210726764144,TRUE,FALSE,7.01515885310664,NA,NA,NA
"Count errors","log","identity",0.000100510011340408,-0.987764277778378,0.506777258009411,0.2,0.00117873193668794,2.93996429601151e-06,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.35416694305219e-07,0.506777258009411,0.2,0.00117873193668794,2.93996429601151e-06,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.769956968719435,0.752,0.738199600329857,0.700722927941083,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",1.35416694305219e-07,0.983981201593088,743.929251534353,772.242809215902,TRUE,FALSE,28.3135576815484,NA,NA,NA
"Count errors","log","identity",0.0027772091798534,-0.705865741031296,0.989274456516224,0.912,0.0191694845487111,0.000317605752843564,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.49860340018907e-06,0.989274456516224,0.912,0.0191694845487111,0.000317605752843564,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",0.755569056015592,0.176,0.204442673455744,0.999035668828572,NA,4,"uniformity; dispersion; quantile_fitted; quantile_predictor",2.49860340018907e-06,0.541313133676182,723.670269294222,748.968058212235,TRUE,FALSE,25.2977889180123,NA,NA,NA
